Fund-AU	DESCRIPTION
100-001        	General Fund Level            
100-101        	County Commissioners          
100-102        	Clerk to the Board            
100-105        	County Administration         
100-110        	County Attorney               
100-115        	Human Resources               
100-120        	Budget and Management         
100-125        	Internal Audit                
100-130        	Finance                       
100-135        	Purchasing                    
100-140        	Information Services          
100-145        	Tax                           
100-150        	Register of Deeds             
100-155        	Elections                     
100-160        	Planning and Development      
100-165        	Community & Economic Develpmnt
100-170        	Geographic Information Systems
100-175        	Facilities                    
100-180        	Security                      
100-185        	Property Management / Courts  
100-186        	Property Management           
100-190        	Parking & Fleet Operation     
100-191        	Fleet                         
100-210        	Public Health                 
100-220        	Mental Health                 
100-230        	Social Services               
100-231        	Special Assistance to Adults  
100-232        	Temp Asst Needy Families      
100-233        	Medical Assistance            
100-235        	Public Assistance Mandates    
100-240        	Child Support Enforcement     
100-250        	Transportation-Human Serv     
100-285        	Veteran Services              
100-290        	Cooperative Extension Service 
100-295        	Coordinated Services          
100-310        	Law Enforcement               
100-320        	Emergency Services            
100-330        	Inspections                   
100-340        	Court Alternatives            
100-350        	Family Justice Center         
100-370        	Animal Services               
100-390        	Other Protection              
100-410        	Solid Waste                   
100-420        	Soil & Water Conservation     
100-510        	Culture-Recreation            
100-511        	Culture-Libraries             
100-515        	Culture-Recreation (Parks)    
100-650        	Economic Develop & Assistance 
100-710        	Education                     
100-810        	Capital Outlay                
100-910        	Debt Service                  
100-950        	Non-Departmental              
105-001        	Debt Service Fund Level       
105-910        	Debt Service                  
200-001        	Internal Services Fund Level  
200-195        	Risk Retention-Liab/Prop/WC   
200-197        	Health Care & Wellness        
400-001        	Northeast Guil FD Fund Level  
400-320        	Emergency Services            
401-001        	Kimesville FD Fund Level      
401-320        	Emergency Services            
402-001        	Alamance FD Fund Level        
402-320        	Emergency Services            
403-001        	Gibsonville FD Fund Level     
403-320        	Emergency Services            
404-001        	Colfax Fire Dist Fund Level   
404-320        	Emergency Services            
405-001        	Guilford College FD Fund Level
405-320        	Emergency Services            
406-001        	Guil-Rand FD Fund Level       
406-320        	Emergency Services            
407-001        	McLeansville FD Fund Level    
407-320        	Emergency Services            
408-001        	Oak Ridge FD Fund Level       
408-320        	Emergency Services            
409-001        	Pcroft-Sedgefield FD Fund Lev 
409-320        	Emergency Services            
410-001        	Pleasant Garden FD Fund Level 
410-320        	Emergency Services            
411-001        	Fire Prot Dist No. 13 Fund Lev
411-320        	Emergency Services            
412-001        	Stokesdale FD Fund Level      
412-320        	Emergency Services            
413-001        	Summerfield FD Fund Level     
413-320        	Emergency Services            
414-001        	Fire Prot Dist No. 14 Fund Lev
414-320        	Emergency Services            
415-001        	Fire Prot Dist No. 18 Fund Lev
415-320        	Emergency Services            
416-001        	Fire Prot Dist No. 28 Fund Lev
416-320        	Emergency Services            
417-001        	Whitsett FD Fund Level        
417-320        	Emergency Services            
418-001        	Mt Hope Com FD Fund Level     
418-320        	Emergency Services            
419-001        	Climax Fire Dist Fund Level   
419-320        	Emergency Services            
420-001        	Southeast FD Fund Level       
420-320        	Emergency Services            
421-001        	Julian Fire Dist Fund Level   
421-320        	Emergency Services            
422-001        	Fire Prot Ser Dist 1 Fund Levl
422-320        	Emergency Services            
423-001        	Julian FPSD Fund Level        
423-320        	Emergency Services            
424-001        	Southeast FPSD Fund Level     
424-320        	Emergency Services            
425-001        	PTIA FPSD Fund Level          
425-320        	Emergency Services            
426-001        	Alamance FPSD Fund Level      
426-320        	Emergency Services            
427-001        	Climax FPSD Fund Level        
427-320        	Emergency Services            
428-001        	Colfax FPSD Fund Level        
428-320        	Emergency Services            
429-001        	Deep River FPSD Fund Level    
429-320        	Emergency Services            
430-001        	Fire Dist 14 FPSD Fund Level  
430-320        	Emergency Services            
431-001        	Guil-Rand FPSD Fund Level     
431-320        	Emergency Services            
432-001        	McLeansville FPSD Fund Level  
432-320        	Emergency Services            
433-001        	Mount Hope FPSD Fund Level    
433-320        	Emergency Services            
434-001        	Oak Ridge FPSD Fund Level     
434-320        	Emergency Services            
435-001        	Pcroft-Sdgfld FPSD Fund Level 
435-320        	Emergency Services            
