Service #,Service Name,Fund #,Fund,Fund- # & Name,Dept #,Dept Name,SubDept#,SubDept Name,Service Area,Type,Acct #,Acct Name,Acct Cat,AU All,budgetType,Amount,Year,PerCapita
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41101,Ad Valorem-Current Year,Property Tax,100001-41101,adopted,-320700000,2013,-639.0839597
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41102,Ad Valorem-Prior Years,Property Tax,100001-41102,adopted,-2400000,2013,-4.782667613
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41103,Vehicle Taxes-Current Year,Property Tax,100001-41103,adopted,-23000000,2013,-45.83389795
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41104,Vehicle Taxes-Prior Years,Property Tax,100001-41104,adopted,-1900000,2013,-3.786278527
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41113,Vehicle Taxes - Current Year (VTS),Property Tax,100001-41113,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41201,Local Option Sales Tax-1%,Sales Tax,100001-41201,adopted,-64900000,2013,-129.3313034
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41202,Local Option Sales Tax 1/2%-ART 40,Sales Tax,100001-41202,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41203,Local Option Sales Tax 1/2%-ART 42,Sales Tax,100001-41203,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41212,Reserved Local Option Sales Tax 1/2%-ART 40,Sales Tax,100001-41212,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41213,Reserved Local Option Sales Tax 1/2%-ART 42,Sales Tax,100001-41213,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41601,Local Gross Receipts Tax,Other,100001-41601,adopted,-600000,2013,-1.195666903
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41602,Cable TV Franchise Tax,Other Taxes,100001-41602,adopted,-90000,2013,-0.1793500355
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,41605,Housing Authority Payments Lieu of Taxes,Other,100001-41605,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,42111,Interest Cost Taxes Current,Other,100001-42111,adopted,-750000,2013,-1.494583629
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,42112,Interest Cost Taxes Prior,Other,100001-42112,adopted,-450000,2013,-0.8967501774
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,42113,Interest Cost Taxes Current (VTS),Other,100001-42113,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,43101,Schedule B Beer and Wine,User Charges,100001-43101,adopted,-90000,2013,-0.1793500355
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,44702,Beer and Wine Tax,Federal & State Funds,100001-44702,adopted,-350000,2013,-0.6974723602
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,44703,ABC Tax Greensboro,Federal & State Funds,100001-44703,adopted,-200000,2013,-0.3985556344
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,44708,ABC Tax - High Point,Federal & State Funds,100001-44708,adopted,-55000,2013,-0.1096027995
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,44725,Utilities Franchise Distribution,Federal & State Funds,100001-44725,adopted,-750000,2013,-1.494583629
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,47101,Appropriated Fund Balance,Fund Balance,100001-47101,adopted,-29907359,2013,-59.59873219
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,49101,Investment Earnings,Other,100001-49101,adopted,-1250000,2013,-2.490972715
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,49111,NCVTS Interest,Other,100001-49111,adopted,0,2013,0
100001,General Fund Level,100,General,100-General,100,Fund Level,1,General Fund Level,General Fund Level,Revenue,49305,Property-Not Fixed Assets,Other,100001-49305,adopted,0,2013,0
105210,Intergovernmental Services,100,General,100-General,105,County Administration,20,Intergovernmental Services,General Government,Revenue,44725,Utilities Franchise Distribution,Federal & State Funds,105210-44725,adopted,-50000,2013,-0.0996389086
115210,HR - Other,100,General,100-General,115,Human Resources,20,Other,General Government,Revenue,49429,Health Savings Forfietures,Other,115210-49429,adopted,0,2013,0
130110,Finance,100,General,100-General,130,Finance,10,Finance,General Government,Revenue,45180,Administration Fees,User Charges,130110-45180,adopted,-75000,2013,-0.1494583629
140110,IS Computer Services,100,General,100-General,140,Information Services,10,Computer Services,Support Services,Revenue,49305,Property-Not Fixed Assets,Other,140110-49305,adopted,0,2013,0
140210,IS Client Services,100,General,100-General,140,Information Services,20,Printing Services,Support Services,Revenue,49305,Property-Not Fixed Assets,Other,140210-49305,adopted,0,2013,0
140410,IS Application Software Servs,100,General,100-General,140,Information Services,40,Application Software Services,Support Services,Revenue,49990,Miscellaneous,Other,140410-49990,adopted,0,2013,0
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45112,Legal Costs Fees,User Charges,145110-45112,adopted,0,2013,0
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45113,Collection Fees,User Charges,145110-45113,adopted,-100000,2013,-0.1992778172
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45123,Collection Fees-Archdale Tax,User Charges,145110-45123,adopted,-464,2013,-0.0009246490718
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45124,Collection Fees-Burlington Tax,User Charges,145110-45124,adopted,-2106,2013,-0.00419679083
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45125,Collection Fees-Jamestown Tax,User Charges,145110-45125,adopted,-8919,2013,-0.01777358852
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45126,Collection Fees-Greensboro Tax,User Charges,145110-45126,adopted,-964000,2013,-1.921038158
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45127,Collection Fees-Whitsett Tax,User Charges,145110-45127,adopted,-145,2013,-0.0002889528349
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45128,Collection Fees-Gibsonville Tx,User Charges,145110-45128,adopted,-594,2013,-0.001183710234
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45131,Garnishment Fees,User Charges,145110-45131,adopted,-60000,2013,-0.1195666903
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45175,Collection Fees - Kernersville Tax,User Charges,145110-45175,adopted,-500,2013,-0.000996389086
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45176,Collection Fees-Sedalia Tax,User Charges,145110-45176,adopted,-505,2013,-0.001006352977
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45177,Collection Fees-Summerfield Tx,User Charges,145110-45177,adopted,-2639,2013,-0.005258941596
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45178,Collection Fees-Oak Ridge Tax,User Charges,145110-45178,adopted,-4097,2013,-0.00816441217
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45179,Collection Fees-Pleasant Garden Tax,User Charges,145110-45179,adopted,-521,2013,-0.001038237428
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45180,Administration Fees,User Charges,145110-45180,adopted,0,2013,0
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,45205,High Point Tax Office-Fees High Point,User Charges,145110-45205,adopted,-347200,2013,-0.6918925813
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,49309,Copies,Other,145110-49309,adopted,-800,2013,-0.001594222538
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,49431,Advertising Refunds,Other,145110-49431,adopted,-85000,2013,-0.1693861446
145110,Tax - Greensboro,100,General,100-General,145,Tax,10,Greensboro,General Government,Revenue,49990,Miscellaneous,Other,145110-49990,adopted,-3000,2013,-0.005978334516
150110,ROD - Greensboro,100,General,100-General,150,Register of Deeds,10,Greensboro,General Government,Revenue,41614,Excise Tax,Other,150110-41614,adopted,-1193318,2013,-2.378018063
150110,ROD - Greensboro,100,General,100-General,150,Register of Deeds,10,Greensboro,General Government,Revenue,43201,Marriage Licenses,User Charges,150110-43201,adopted,-49017,2013,-0.09768000765
150110,ROD - Greensboro,100,General,100-General,150,Register of Deeds,10,Greensboro,General Government,Revenue,45102,Register of Deeds Fees,User Charges,150110-45102,adopted,-1248130,2013,-2.48724622
150110,ROD - Greensboro,100,General,100-General,150,Register of Deeds,10,Greensboro,General Government,Revenue,45180,Administration Fees,User Charges,150110-45180,adopted,-14131,2013,-0.02815994835
150110,ROD - Greensboro,100,General,100-General,150,Register of Deeds,10,Greensboro,General Government,Revenue,49309,Copies,Other,150110-49309,adopted,-377291,2013,-0.7518572693
150110,ROD - Greensboro,100,General,100-General,150,Register of Deeds,10,Greensboro,General Government,Revenue,49399,Miscellaneous,Other,150110-49399,adopted,-100,2013,-0.0001992778172
150110,ROD - Greensboro,100,General,100-General,150,Register of Deeds,10,Greensboro,General Government,Revenue,49499,Miscellaneous Refunds,Other,150110-49499,adopted,-9853,2013,-0.01963484333
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,41614,Excise Tax,Other,150210-41614,adopted,-176798,2013,-0.3523191952
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,43201,Marriage Licenses,User Charges,150210-43201,adopted,-16969,2013,-0.0338154528
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,45102,Register of Deeds Fees,User Charges,150210-45102,adopted,-374106,2013,-0.7455102708
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,49309,Copies,Other,150210-49309,adopted,-127891,2013,-0.2548583932
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,49399,Miscellaneous,Other,150210-49399,adopted,-100,2013,-0.0001992778172
