58900,Expense Transfer
51050,Merit Increases
51200,Retirement
51210,F I C A - Social Security
51250,Deferred Comp 401K
51020,Overtime Salaries
51230,Workmens Compensation Insurance
53480,Cash Over and Short
53050,Postage and Delivery
53090,Insurance and Bonding
53170,Dues and Memberships
52020,Periodicals Books Publications
53150,Equipment Rental
51040,Longevity Pay
53040,Telephone
52010,Printing and Office Supplies
53130,Equip Repair Service-Non-Vehicular
53220,Education and Training
53060,Transportation and Travel
53070,Advertising
54310,Transportation
54210,Food
53190,Outside Data Processing Expense
52030,Cleaning-Household Supplies
52090,Laboratory Supplies
53110,Maintenance of Lawns-Grounds
52070,Medical Supplies
52050,Food and Provisions
52060,Building Materials Tools Supplies
53100,Routine Building Maintenance/Repair
52910,"Small Office Furniture, Fixtures, Equipment"
52040,Wearing Apparel
53020,Medical Services
53010,Professional Services
51270,Retirement Health Savings Plan
53490,Miscellaneous Services
52100,Agricultural-Animal Supplies
53900,Customer Refunds
54300,Medical Care
54330,Building Rental
51090,Special Pay
51060,Compensation Board Members
53140,Building Rental
52110,Miscellaneous Supplies
51220,Group Insurance
53120,Vehicle Repair Service
54500,Miscellaneous Supplies and Expense
53030,Utilities
53160,Laundry and Uniforms
53121,Vehicle Fuel
52920,Small Machinery & Equipment
52911,Small Computer Equipment
53290,Special Facilities Maintenance/Repair
53250,Microfilming Expense
53510,Solid Waste Disposal
51030,Part Time Salaries
53700,Remittances to Districts/Authorities
54220,Clothing
54370,Vehicle Repair Service
52160,Other Supplies
52120,Prisoner Uniforms
53750,"Remittances-Other Aid, Grants, Allocations"
51010,Regular Salaries
54320,Utilities
52080,Drugs
53191,"Software, Service and Maintenance"
53080,Surveying and Appraisals
51260,Retirement Supplement-Register of Deeds
55310,Equipment-Office Furniture and Fixtures
56800,Commissions to Bond Agents
51070,Part Time Compensation Outside
54010,Assistance-State and/or Federal
54150,Daycare-Adult-County Portion
55350,Vehicles - Motor Equipment
52130,Armory Supplies
54170,Daycare - United Way Subsidized
52150,Inventory
53270,Claims Paid
54140,Daycare-Adult-State and Federal
54380,Equipment
