General Fund Level            	100-001-001                       
County Commissioners          	100-101-010                       
Clerk to the Board            	100-102-010                       
Administration                	100-105-002                       
Reserve for Contingency       	100-105-010                       
Intergovernmental Services    	100-105-020                       
County Attorney               	100-110-010                       
Administration                	100-115-002                       
Awards Banquet                	100-115-010                       
Other                         	100-115-020                       
Budget and Management         	100-120-010                       
Internal Audit                	100-125-010                       
Finance                       	100-130-010                       
Administration                	100-135-002                       
Property and Other            	100-135-010                       
Administration                	100-140-002                       
Computer Services             	100-140-010                       
Program Management            	100-140-015                       
Client Services               	100-140-020                       
Technical Support Services    	100-140-030                       
Application Software Services 	100-140-040                       
Telecommunications            	100-140-050                       
Greensboro                    	100-145-010                       
High Point                    	100-145-020                       
Greensboro                    	100-150-010                       
High Point                    	100-150-020                       
Automation Enhance & Preservtn	100-150-050                       
Administration                	100-155-002                       
Other                         	100-155-010                       
Training                      	100-155-020                       
Administration                	100-160-002                       
Planning/Zoning               	100-160-010                       
Community Services            	100-160-050                       
Administration                	100-165-002                       
Community Initiatives         	100-165-010                       
Community Services            	100-165-020                       
Geographic Information Systems	100-170-001                       
Administration                	100-175-002                       
Buildings                     	100-175-010                       
Operations                    	100-175-020                       
Distribution Services         	100-175-030                       
Parking                       	100-175-040                       
Court                         	100-175-050                       
Property Management           	100-175-060                       
Security                      	100-180-010                       
Property Management           	100-185-010                       
Court                         	100-185-020                       
Property Management           	100-186-010                       
Fleet Operation               	100-190-010                       
Parking Areas                 	100-190-020                       
Fleet                         	100-191-010                       
Administration                	100-210-002                       
Community Health              	100-210-010                       
Clinical Health               	100-210-030                       
Environmental Health          	100-210-050                       
Allied Health                 	100-210-060                       
PH Preparedness               	100-210-070                       
Local Management Entity       	100-220-002                       
Community Provider Services   	100-220-010                       
Internal Services             	100-220-020                       
Safety Net Services           	100-220-030                       
Administration                	100-230-002                       
Admin Non-reimb by NC         	100-230-003                       
Family Supportive Services    	100-230-020                       
Older Adults                  	100-230-030                       
Community Alternatives        	100-230-040                       
County Financial Assistance   	100-230-050                       
Food & Shelter For Needy      	100-230-060                       
Special Assistance to Adults  	100-231-010                       
Temp Asst Needy Families      	100-232-010                       
Medical Assistance            	100-233-010                       
Public Assist Mandates-Adult  	100-235-010                       
Public Assist Mandates-Family 	100-235-020                       
Public Assist Mandates-Medical	100-235-030                       
Child Support Enforcement     	100-240-010                       
Transportation-Human Serv     	100-250-010                       
Veteran Services              	100-285-010                       
Administration                	100-290-002                       
Youth                         	100-290-010                       
Extension Programs            	100-290-020                       
Administration                	100-295-002                       
Adult Services                	100-295-010                       
Family & Children             	100-295-020                       
Juvenile Srvs Coordination    	100-295-030                       
General Services              	100-295-040                       
JCPC Services                 	100-295-050                       
Administration                	100-310-002                       
Legal Process                 	100-310-010                       
Special Operations            	100-310-020                       
Sp Op-Aviation Technology Prog	100-310-025                       
Patrol                        	100-310-030                       
Detention Services            	100-310-040                       
Administration                	100-320-002                       
Emergency Management          	100-320-010                       
Communications                	100-320-020                       
Garage                        	100-320-030                       
Medical                       	100-320-040                       
Fire                          	100-320-050                       
Environmental                 	100-320-060                       
Inspections                   	100-330-010                       
Detention Services            	100-340-010                       
Day Reporting Center          	100-340-020                       
Family Justice Center         	100-350-010                       
Animal Shelter                	100-370-010                       
Animal Control                	100-370-020                       
Pre-Trial Release             	100-390-010                       
Court                         	100-390-020                       
Waste Disposal                	100-410-010                       
Soil & Water Conservation     	100-420-010                       
GC S&W Conservation District  	100-420-020                       
Culture                       	100-510-010                       
Libraries                     	100-510-020                       
Parks and Recreation          	100-510-050                       
Culture                       	100-511-010                       
Libraries                     	100-511-020                       
Parks and Recreation - Admin  	100-515-002                       
Bur-Mil Park                  	100-515-020                       
Gibson Park                   	100-515-030                       
Guilford Mackintosh Park      	100-515-040                       
Hagan-Stone Park              	100-515-050                       
Northeast Park                	100-515-060                       
Southwest Park                	100-515-070                       
Triad Park                    	100-515-080                       
Parks - Other                 	100-515-090                       
Economic Develop & Assistance 	100-650-010                       
Guilford County Board of Educ 	100-710-010                       
Guilford Tech Comm College    	100-710-020                       
Guilford County Capital Outlay	100-810-010                       
GC Board of Ed Capital Outlay 	100-810-020                       
GTCC Capital Outlay           	100-810-030                       
Debt Service                  	100-910-010                       
Non-Departmental              	100-950-010                       
Debt Service Fund Level       	105-001-001                       
Debt Service                  	105-910-010                       
Internal Services Fund Level  	200-001-001                       
Administration                	200-195-002                       
Liability Insurance           	200-195-010                       
Property and Other Ins        	200-195-020                       
Workers Compensation Ins      	200-195-030                       
Health Care Plan              	200-197-010                       
Northeast Guil FD Fund Level  	400-001-001                       
Northeast Guil Fire Prot Dist 	400-320-001                       
Kimesville FD Fund Level      	401-001-001                       
Kimesville Fire Prot Dist     	401-320-001                       
Alamance FD Fund Level        	402-001-001                       
Alamance Fire Prot Dist       	402-320-001                       
Gibsonville FD Fund Level     	403-001-001                       
Gibsonville Fire Prot Dist    	403-320-001                       
Colfax Fire Dist Fund Level   	404-001-001                       
Colfax Fire Prot Dist         	404-320-001                       
Guilford College FD Fund Level	405-001-001                       
Guil College Fire Prot Dist   	405-320-001                       
Guil-Rand FD Fund Level       	406-001-001                       
Guil-Rand Fire Prot Dist      	406-320-001                       
McLeansville FD Fund Level    	407-001-001                       
Mcleansville Fire Prot Dist   	407-320-001                       
Oak Ridge FD Fund Level       	408-001-001                       
Oak Ridge Fire Prot Dist      	408-320-001                       
Pcroft-Sedgefield FD Fund Lev 	409-001-001                       
Pcroft-Sdgfld Fire Prot Dist  	409-320-001                       
Pleasant Garden FD Fund Level 	410-001-001                       
Pleasant Garden Fire Prot Dist	410-320-001                       
Fire Prot Dist No. 13 Fund Lev	411-001-001                       
Fire Prot Dist No. 13         	411-320-001                       
Stokesdale FD Fund Level      	412-001-001                       
Stokesdale Fire Prot Dist     	412-320-001                       
Summerfield FD Fund Level     	413-001-001                       
Summerfield Fire Prot Dist    	413-320-001                       
Fire Prot Dist No. 14 Fund Lev	414-001-001                       
Fire Prot Dist No. 14         	414-320-001                       
